Frames: 21604
Frame Time: 0.008333
0.2750047 1.559937 0.06978254
0.274995 1.559942 0.0697657
0.2749739 1.559977 0.06983652
0.274976 1.559983 0.06978564
0.274962 1.55999 0.06973025
0.2749304 1.559997 0.06966685
0.274892 1.559982 0.0695713
0.274853 1.559959 0.06950576
0.274832 1.559951 0.06955498
0.2748084 1.559949 0.06964258
0.2747981 1.55996 0.06968128
0.2747642 1.559956 0.06966921
0.2747711 1.559963 0.06960564
0.274683 1.559958 0.06963211
0.2746449 1.559946 0.0696537
0.2745548 1.55996 0.06966376
0.2745111 1.559976 0.06969459
0.274516 1.559994 0.06967301
0.2744828 1.560015 0.06963664
0.2744156 1.560009 0.06963775
0.2743455 1.56 0.06962787
0.2742242 1.559996 0.06973068
0.2741603 1.560006 0.06976046
0.2741003 1.560023 0.06976231
0.2740647 1.560038 0.06967856
0.2740176 1.560041 0.06962708
0.2739132 1.560032 0.06959055
0.2738151 1.560007 0.06962337
0.273748 1.560001 0.06967399
0.2737934 1.560009 0.06968858
0.2737324 1.560021 0.06960297
0.273668 1.560024 0.06947219
0.2735933 1.560028 0.06945131
0.2735063 1.560018 0.06943808
0.2733911 1.560019 0.06945577
0.2733578 1.560009 0.06945355
0.2733024 1.560004 0.06939628
0.2733612 1.560026 0.06928694
0.2733142 1.560028 0.06917396
0.2732788 1.560021 0.06910951
0.2731717 1.559996 0.06912505
0.2731203 1.559968 0.06912848
0.2730722 1.559963 0.06913989
0.2730786 1.559981 0.06903717
0.2730626 1.560001 0.0689209
0.2730032 1.56002 0.06886797
0.2729145 1.560001 0.06882758
0.2728261 1.559981 0.06887519
0.2726624 1.559941 0.06891458
0.2725283 1.559933 0.06890406
0.2724385 1.559948 0.06887858
0.2723638 1.559975 0.06884319
0.2722584 1.559981 0.06883074
0.272114 1.559954 0.0688721
0.2720267 1.559936 0.06901574
0.2717486 1.559899 0.06904347
0.2716632 1.559901 0.06903319
0.2715812 1.559924 0.06898858
0.2715212 1.559943 0.06896519
0.2714979 1.559923 0.06903306
0.2714266 1.559887 0.06912865
0.2713933 1.55986 0.06929258
0.2713383 1.559838 0.06936901
0.2712404 1.559853 0.06933062
0.2711588 1.559885 0.06930003
0.2711348 1.559894 0.06921344
0.2710989 1.559894 0.06922476
0.2709654 1.559857 0.06933092
0.2708135 1.559813 0.06937725
0.2706601 1.559795 0.06937521
0.2705204 1.559802 0.06928927
0.2704088 1.559814 0.06914644
0.270215 1.559824 0.06911322
0.2700477 1.559809 0.0692404
0.269901 1.559776 0.06936734
0.2696815 1.559766 0.06944364
0.269482 1.559764 0.06939106
0.2692916 1.559771 0.06929969
0.2692002 1.559796 0.06924097
0.2691767 1.559812 0.06930801
0.2691371 1.559798 0.06944118
0.2690929 1.55978 0.06951451
0.2690219 1.559754 0.06949534
0.2689162 1.559754 0.06927077
0.2688241 1.559766 0.06911888
0.2687605 1.559773 0.06906025
0.2687449 1.559764 0.06921853
0.2686967 1.559736 0.06952085
0.2686104 1.559717 0.06981166
0.2684228 1.559696 0.07000124
0.2683265 1.559716 0.07002987
0.2682321 1.559755 0.0700672
0.2681867 1.559785 0.07026589
0.2681023 1.559785 0.07041641
0.2680423 1.559778 0.0706976
0.2679816 1.559764 0.07081359
0.2679389 1.559774 0.07079441
0.2678649 1.559805 0.07067063
0.2678111 1.559837 0.07049687
0.267764 1.559869 0.07048296
0.2678031 1.559896 0.07058641
0.267663 1.559871 0.07070725
0.2676343 1.559865 0.07084092
0.2675233 1.55987 0.0708403
0.267469 1.559909 0.07077336
0.2674034 1.559924 0.07067735
0.2673369 1.559928 0.07062311
0.2672251 1.55989 0.07062984
0.2671417 1.559857 0.07062176
0.2671185 1.559832 0.07058337
0.2670922 1.559832 0.07045633
0.2670796 1.559848 0.07032051
0.2671051 1.559864 0.07026094
0.2671114 1.559872 0.07016162
0.2670261 1.559842 0.07009945
0.2668874 1.559822 0.07005359
0.2667978 1.559819 0.06993262
0.2667719 1.559837 0.06981652
0.2667814 1.55988 0.06978017
0.2668101 1.559917 0.06975681
0.2667961 1.559921 0.06972181
0.2667676 1.559903 0.06968205
0.2667479 1.559888 0.06965227
0.2666821 1.559885 0.06947304
0.2666316 1.559897 0.06928577
0.2666316 1.559925 0.06918212
0.2666067 1.559959 0.06916803
0.2666506 1.559994 0.06924632
0.2667298 1.560014 0.06929043
0.2667043 1.56002 0.06932665
0.2666887 1.560025 0.06928321
0.2666765 1.56002 0.06916844
0.2666464 1.560023 0.06911262
0.2666915 1.560029 0.06911426
0.2666949 1.560023 0.06913555
0.2667143 1.560015 0.06919313
0.2667267 1.560012 0.06914312
0.2667363 1.560034 0.06912231
0.2667508 1.560039 0.06900949
0.2666987 1.560047 0.0690028
0.2666808 1.560052 0.06904434
0.2666121 1.560045 0.06911545
0.2666134 1.560048 0.06921174
0.2666068 1.560045 0.06926768
0.2666363 1.560063 0.06930991
0.2666562 1.560073 0.06929994
0.2666283 1.560092 0.06936722
0.2666236 1.560101 0.06945635
0.2665648 1.560111 0.06962153
0.2665523 1.560132 0.06990024
0.2664879 1.560135 0.070126
